,tag,patterns,responses
0,greeting,Hi,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
1,greeting,Hey,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
2,greeting,Is anyone there?,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
3,greeting,Hi there,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
4,greeting,Hello,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
5,greeting,Hey there,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
6,greeting,Howdy,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
7,greeting,Hola,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
8,greeting,Bonjour,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
9,greeting,Konnichiwa,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
10,greeting,Guten tag,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
11,greeting,Ola,"['Hello there. Tell me how are you feeling today?', 'Hi there. What brings you here today?', 'Hi there. How are you feeling today?', 'Great to see you. How do you feel currently?', ""Hello there. Glad to see you're back. What's going on in your world right now?""]"
12,morning,Good morning,"[""Good morning. I hope you had a good night's sleep. How are you feeling today? ""]"
13,afternoon,Good afternoon,['Good afternoon. How is your day going?']
14,evening,Good evening,['Good evening. How has your day been?']
15,night,Good night,"['Good night. Get some proper sleep', 'Good night. Sweet dreams.']"
16,goodbye,Bye,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
17,goodbye,See you later,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
18,goodbye,Goodbye,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
19,goodbye,Au revoir,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
20,goodbye,Sayonara,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
21,goodbye,ok bye,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
22,goodbye,Bye then,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
23,goodbye,Fare thee well,"['See you later.', 'Have a nice day.', 'Bye! Come back again.', ""I'll see you soon.""]"
24,thanks,Thanks,"['Happy to help!', 'Any time!', 'My pleasure', ""You're most welcome!""]"
25,thanks,Thank you,"['Happy to help!', 'Any time!', 'My pleasure', ""You're most welcome!""]"
26,thanks,That's helpful,"['Happy to help!', 'Any time!', 'My pleasure', ""You're most welcome!""]"
27,thanks,Thanks for the help,"['Happy to help!', 'Any time!', 'My pleasure', ""You're most welcome!""]"
28,thanks,Than you very much,"['Happy to help!', 'Any time!', 'My pleasure', ""You're most welcome!""]"
29,no-response,,"[""Sorry, I didn't understand you."", 'Please go on.', 'Not sure I understand that.', ""Please don't hesitate to talk to me.""]"
30,neutral-response,nothing much,['Oh I see. Do you want to talk about something?']
31,about,Who are you?,"[""I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"", ""I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."", ""I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?"", 'You can call me Pandora.', ""I'm Pandora!"", 'Call me Pandora']"
32,about,What are you?,"[""I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"", ""I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."", ""I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?"", 'You can call me Pandora.', ""I'm Pandora!"", 'Call me Pandora']"
33,about,Who you are?,"[""I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"", ""I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."", ""I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?"", 'You can call me Pandora.', ""I'm Pandora!"", 'Call me Pandora']"
34,about,Tell me more about yourself.,"[""I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"", ""I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."", ""I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?"", 'You can call me Pandora.', ""I'm Pandora!"", 'Call me Pandora']"
35,about,What is your name?,"[""I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"", ""I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."", ""I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?"", 'You can call me Pandora.', ""I'm Pandora!"", 'Call me Pandora']"
36,about,What should I call you?,"[""I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"", ""I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."", ""I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?"", 'You can call me Pandora.', ""I'm Pandora!"", 'Call me Pandora']"
37,about,What's your name?,"[""I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"", ""I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."", ""I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?"", 'You can call me Pandora.', ""I'm Pandora!"", 'Call me Pandora']"
38,about,Tell me about yourself,"[""I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"", ""I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."", ""I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?"", 'You can call me Pandora.', ""I'm Pandora!"", 'Call me Pandora']"
39,skill,What can you do?,"[""I can provide general advice regarding anxiety and depression, answer questions related to mental health and make daily conversations. Do not consider me as a subsitute for an actual mental healthcare worker. Please seek help if you don't feel satisfied with me.""]"
40,creation,Who created you?,"['I was created by >.', 'I was trained on a text dataset using Deep Learning & Natural Language Processing techniques', 'The real question is: Who created you?']"
