"title","subtitle","authors","categories","thumbnail","description","published_year","average_rating","num_pages","short_descript"
"Plan B","Further Thoughts on Faith","Anne Lamott","Biography & Autobiography","http://books.google.com/books/content?id=__EKDAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","A spiritual guide by the author of the best-selling Traveling Mercies shares humorous and inspirational advice on how to manage with grace in today's world of terrorism, while caring for aging parents and children simultaneously, and in the face of environmental threats. Reprint.","2006","4.06","352","A spiritual guide by the author of the best-selling Traveling Mercies shares humorous and inspirational advice on how to manage with grace in today's world of terrorism, while caring for aging parents"
"Twisted","The Collected Stories of Jeffery Deaver","Jeffery Deaver","Fiction","http://books.google.com/books/content?id=__kSTI5Z_jsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","An anthology of short fiction includes ""The Christmas Present,"" a holiday tale featuring Lincoln Rhyme, as well as ""Gone Fishing,"" ""Triangle,"" ""The Kneeling Soldier,"" and ""Without Jonathan.""","2004","3.92","480","An anthology of short fiction includes ""The Christmas Present,"" a holiday tale featuring Lincoln Rhyme, as well as ""Gone Fishing,"" ""Triangle,"" ""The Kneeling Soldier,"" and ""Without Jonathan."""
"Complete Shorter Fiction","","Oscar Wilde","Fiction","http://books.google.com/books/content?id=__pdWkR_WXQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","For the first time in one volume, this complete collection of all the short fiction Oscar Wilde published contains such social and literary parodies as ""Lord Arthur Savile's Crime"" and ""The Canterville Ghost;"" such well-known fairy tales as ""The Happy Prince,"" ""The Young King,"" and ""The Fisherman and his Soul;"" an imaginary portrait of the dedicatee of Shakespeare's Sonnets entitled ""The Portrait of Mr. W.H.;"" and the parables Wilde referred to as ""Poems in Prose,"" including ""The Artist,"" ""The House of Judgment,"" and ""The Teacher of Wisdom.""","1998","4.16","288","For the first time in one volume, this complete collection of all the short fiction Oscar Wilde published contains such social and literary parodies as ""Lord Arthur Savile's Crime"" and ""The Cantervill"
"Rhinoceros","The Chairs ; The Lesson","EugÃ¨ne Ionesco","French drama","http://books.google.com/books/content?id=_-54PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","This volume contains English translations of three plays by Ionesco, one of the founding fathers of the theatre of the absurd. Tragic, farcical, alive and kicking, they can be read as a way to liberation.","2000","4.01","224","This volume contains English translations of three plays by Ionesco, one of the founding fathers of the theatre of the absurd. Tragic, farcical, alive and kicking, they can be read as a way to liberat"
"The Sun Also Rises","","Ernest Hemingway","Fiction","http://books.google.com/books/content?id=_-KBsJuQaCgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","In the socially dislocated period after World War I, an American expatriate and a British peeress conduct a hopeless love affair.","1996","3.82","222","In the socially dislocated period after World War I, an American expatriate and a British peeress conduct a hopeless love affair."
"The Death of an Irish Sea Wolf","","Bartholomew Gill","Fiction","http://books.google.com/books/content?id=_-poqwbBCD4C&printsec=frontcover&img=1&zoom=1&source=gbs_api","In a remote community off the west coast of Ireland, residents inclined to gossip speculate why reclusive Clement Ford, the ""Sea Wolf,"" has become such a generous benefactor to his neighbors. then one night, a mysterious figure from Ford's past arrives on the island, and by morning three people are murdered and Ford has disappeared. In the wake of the tragedy, Chief Superintendent Peter McGarr, and his intuitive wife, Noreen, along with his trusted staff from the Murder Squad, must piece together the deadly evening's events and answer the questions: Who really is the enigmatic Sea Wolf? And what does he have that is worth killing so many people for?","1997","3.74","304","In a remote community off the west coast of Ireland, residents inclined to gossip speculate why reclusive Clement Ford, the ""Sea Wolf,"" has become such a generous benefactor to his neighbors. then one"
"Encore Provence","New Adventures in the South of France","Peter Mayle","Travel","http://books.google.com/books/content?id=_2llP4TemxMC&printsec=frontcover&img=1&zoom=1&source=gbs_api","The author continues his celebration of Provence in a new collection of culinary delights, profiles of colorful Gallic characters, and personal observations","2000","4","240","The author continues his celebration of Provence in a new collection of culinary delights, profiles of colorful Gallic characters, and personal observations"
"The Lord of the Rings","The Two Towers : Visual Companion","Jude Fisher","Fiction","http://books.google.com/books/content?id=_2qFvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Explores the people, places, and ideas found in the motion picture adaptation of the second part of J.R.R. Tolkien's ""The Lord of the Rings.""","2002","4.51","72","Explores the people, places, and ideas found in the motion picture adaptation of the second part of J.R.R. Tolkien's ""The Lord of the Rings."""
"Vampire Hunter D Volume 4: Tale of the Dead Town","","Hideyuki Kikuchi;Yoshitaka Amano;Kevin Leahy","Comics & Graphic Novels","http://books.google.com/books/content?id=_3k1zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","When a floating city becomes the target of a rash of vampire attacks, only one man can restore the oasis. ""The City,"" a tiny metropolis of a few hundred sheltered citizens floating serenely on a seemingly random course a few feet above the ground, has long been thought safe from the predation of marauding monsters. It seemed like a paradise. A paradise shattered when an invasion of apparent vampires threatens the small haven. While the Vampire Hunter known only as ""D"" struggles to exterminate the scourge, a former denizen of the city, the attractive Raleigh Knight, and the brash John M. Brassalli Pluto VIII seize control of the city lurching it onto a new and deadly course. D's travails are just beginning. * The Vampire Hunter D films are two of the most-popular Japanese anime films released in the United States consistently ranking among the top DVDs sold on amazon.com! FOR MATURE READERS","2006","3.92","205","When a floating city becomes the target of a rash of vampire attacks, only one man can restore the oasis. ""The City,"" a tiny metropolis of a few hundred sheltered citizens floating serenely on a seemi"
"Not Just a Pretty Face","Dolls and Human Figurines in Alaska Native Cultures","Molly Lee","Antiques & Collectibles","http://books.google.com/books/content?id=_3Pn-oDS850C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","Now in a full-color second edition, Not Just a Pretty Face is an engaging exploration of the role of dolls and doll making in Alaska Native cultures. From ancient ivory carvings to the thriving tourist market, dolls and human figurines have played integral parts in the ritual, economic, and social lives of Native Alaskans. Dolls served as childrenâ€™s playthings, represented absent community members at ceremonies, and predicted the movements of game animals for shamans. Not Just a Pretty Face surveys these and other uses of dolls and figurines, illustrating in beautiful color photographs the diversity of the doll-making tradition in Eskimo, Athabaskan, and Northwest Coast Native communities. Authors explore the ethnographic literature, twentieth-century oral histories, and photographic documentation of dolls and the doll-making process. Contemporary doll makers explain, in their own words, how they learned to make dolls and what doll making means to them. The second edition features a photo essay on Rosalie Paniyak of Chevak, one of the most influential doll makers in Alaska today. Not Just a Pretty Face provides a panoramic view of an ancient tradition and situates the art of doll making within a contemporary context. Scholarly, yet accessible, Not Just a Pretty Face is a lively contribution to the literature on dolls, anthropology, and Native studies.","2006","3.5","80","Now in a full-color second edition, Not Just a Pretty Face is an engaging exploration of the role of dolls and doll making in Alaska Native cultures. From ancient ivory carvings to the thriving touris"
