               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13673,            0.056509,            0.047497,           0.0019686,            0.016035,           0.0010884,          0.00037646,             0.13199,            0.060207,            0.040154,            0.070064,           0.0033263,           0.0033263
                   1,             0.12957,            0.058624,             0.03601,             0.81056,            0.014846,           0.0052915,           0.0012972,             0.12398,            0.059614,            0.032061,            0.039932,           0.0065277,           0.0065277
                   2,             0.12195,            0.061255,            0.029477,             0.73223,            0.025269,            0.022534,           0.0069671,             0.11635,            0.062219,            0.026672,           0.0096678,           0.0095972,           0.0095972
                   3,             0.11575,            0.063514,            0.025905,             0.66215,             0.05209,            0.044475,             0.01633,             0.11049,            0.063097,            0.023828,            0.009406,            0.009406,            0.009406
                   4,             0.11182,            0.064342,            0.024085,             0.43021,            0.091908,            0.061023,            0.024143,             0.10706,              0.0636,            0.022376,            0.009406,            0.009406,            0.009406
                   5,             0.10928,            0.065328,            0.022938,             0.52335,             0.10355,            0.073373,            0.029487,             0.10509,            0.064127,            0.021218,            0.009208,            0.009208,            0.009208
                   6,             0.10723,            0.065269,            0.021871,             0.54446,             0.11725,            0.088075,            0.035573,             0.10333,            0.064517,            0.020464,             0.00901,             0.00901,             0.00901
                   7,             0.10561,            0.065082,            0.021507,             0.54841,             0.12349,            0.098428,            0.039933,             0.10168,            0.064771,            0.019628,            0.008812,            0.008812,            0.008812
                   8,             0.10452,            0.066045,            0.020811,             0.43861,             0.13265,             0.10061,            0.041524,             0.10073,            0.064575,            0.019643,            0.008614,            0.008614,            0.008614
                   9,             0.10343,            0.065108,            0.020211,             0.58024,             0.13555,             0.10851,            0.044528,            0.099882,            0.064716,            0.018739,            0.008416,            0.008416,            0.008416
                  10,             0.10252,            0.065694,            0.020005,             0.59362,             0.14322,             0.11951,            0.051175,              0.0987,            0.064647,            0.018363,            0.008218,            0.008218,            0.008218
                  11,             0.10188,            0.065701,            0.019562,             0.57937,             0.14858,             0.11904,            0.052151,            0.097947,            0.064839,            0.018009,             0.00802,             0.00802,             0.00802
                  12,             0.10117,            0.065498,            0.019239,              0.5785,             0.15333,             0.12586,            0.054674,            0.097464,            0.064676,            0.017741,            0.007822,            0.007822,            0.007822
                  13,             0.10044,            0.065332,            0.019033,             0.59476,             0.16008,             0.13016,            0.056629,            0.096883,            0.064459,            0.017603,            0.007624,            0.007624,            0.007624
                  14,            0.099955,            0.065413,            0.018696,             0.59263,             0.16756,             0.13818,             0.05996,            0.096331,             0.06443,            0.017497,            0.007426,            0.007426,            0.007426
                  15,            0.099505,            0.065217,            0.018534,             0.61117,             0.16074,             0.13607,            0.059677,            0.095989,            0.064484,            0.017468,            0.007228,            0.007228,            0.007228
                  16,            0.099122,             0.06496,            0.018252,             0.60965,             0.16372,             0.14052,             0.06243,            0.095773,            0.064318,            0.017328,             0.00703,             0.00703,             0.00703
                  17,            0.098646,            0.064601,            0.018185,             0.60366,             0.16384,             0.14232,            0.063023,             0.09557,            0.064525,             0.01717,            0.006832,            0.006832,            0.006832
                  18,            0.098191,             0.06455,             0.01811,             0.58977,             0.17524,             0.14637,            0.065314,            0.095057,            0.064296,            0.017081,            0.006634,            0.006634,            0.006634
                  19,            0.097799,            0.064727,             0.01793,             0.61276,             0.17255,             0.15164,            0.068589,            0.094724,            0.064085,            0.016872,            0.006436,            0.006436,            0.006436
                  20,            0.097423,            0.064516,            0.017579,             0.62565,              0.1785,             0.15512,            0.069947,            0.094446,             0.06406,            0.016889,            0.006238,            0.006238,            0.006238
                  21,            0.097261,            0.064396,             0.01747,             0.60402,             0.17737,             0.15365,            0.069756,            0.094319,            0.064549,            0.016608,             0.00604,             0.00604,             0.00604
                  22,            0.096826,            0.063998,            0.017544,             0.60893,             0.18079,             0.15729,            0.071317,            0.094182,             0.06448,            0.016675,            0.005842,            0.005842,            0.005842
                  23,             0.09673,            0.064249,            0.017396,             0.62495,             0.18281,             0.15991,            0.070999,            0.093864,            0.064385,            0.016522,            0.005644,            0.005644,            0.005644
                  24,            0.096198,             0.06418,            0.017189,             0.61046,             0.17954,             0.16193,            0.072335,            0.093619,            0.064136,            0.016429,            0.005446,            0.005446,            0.005446
                  25,            0.095855,            0.064081,            0.017062,              0.6366,             0.18491,             0.16747,            0.075217,            0.093427,            0.063975,            0.016255,            0.005248,            0.005248,            0.005248
                  26,            0.095824,            0.064058,            0.017106,             0.62828,             0.18396,              0.1645,            0.075134,             0.09316,            0.064212,            0.016261,             0.00505,             0.00505,             0.00505
                  27,            0.095693,            0.064691,            0.016876,             0.62463,             0.18442,             0.16644,            0.075559,            0.093018,            0.064084,            0.016161,            0.004852,            0.004852,            0.004852
                  28,            0.095499,             0.06403,            0.016606,             0.63846,             0.18604,             0.17006,            0.076817,            0.093011,            0.064252,             0.01609,            0.004654,            0.004654,            0.004654
                  29,            0.095279,            0.063737,            0.016769,             0.63082,             0.18423,             0.16772,            0.076741,            0.092773,            0.064094,            0.016131,            0.004456,            0.004456,            0.004456
                  30,            0.095133,            0.063063,            0.016559,             0.62006,             0.19662,             0.17467,            0.078842,            0.092715,             0.06404,            0.016029,            0.004258,            0.004258,            0.004258
                  31,            0.094781,            0.063106,            0.016567,              0.6238,             0.19006,             0.17539,            0.079802,             0.09251,            0.064114,            0.015904,             0.00406,             0.00406,             0.00406
                  32,             0.09452,            0.063144,            0.016308,             0.63162,             0.19025,             0.17798,             0.08036,            0.092554,             0.06416,               0.016,            0.003862,            0.003862,            0.003862
                  33,            0.094486,            0.063171,            0.016322,             0.64125,             0.19043,             0.18156,            0.083069,            0.092406,            0.064111,            0.015932,            0.003664,            0.003664,            0.003664
                  34,            0.094085,            0.063423,            0.016008,             0.62878,             0.20269,             0.18207,            0.082447,            0.092217,            0.064091,             0.01595,            0.003466,            0.003466,            0.003466
                  35,            0.094116,            0.063038,            0.016199,             0.55743,              0.2132,             0.18884,            0.085479,             0.09219,            0.064056,            0.015925,            0.003268,            0.003268,            0.003268
                  36,            0.093903,             0.06314,            0.015956,             0.63657,             0.20104,             0.18527,            0.085343,            0.092129,            0.064062,            0.015965,             0.00307,             0.00307,             0.00307
                  37,            0.093756,            0.063708,            0.015807,             0.54732,             0.21383,              0.1848,            0.084658,            0.092081,            0.063945,            0.015996,            0.002872,            0.002872,            0.002872
                  38,             0.09367,            0.063508,              0.0158,             0.55638,             0.20708,             0.18579,            0.083938,            0.091987,            0.064235,            0.016087,            0.002674,            0.002674,            0.002674
                  39,            0.093525,             0.06315,            0.015594,             0.63214,             0.20142,             0.18734,            0.085383,            0.092007,            0.064113,             0.01597,            0.002476,            0.002476,            0.002476
                  40,             0.09335,            0.062599,            0.015545,             0.57468,             0.21501,             0.19181,            0.086903,            0.091913,            0.064044,            0.015877,            0.002278,            0.002278,            0.002278
                  41,            0.093168,            0.062318,            0.015544,             0.56087,             0.21538,             0.18897,            0.085414,             0.09186,            0.063938,            0.015902,             0.00208,             0.00208,             0.00208
                  42,             0.09316,            0.062187,            0.015474,             0.58974,             0.20789,             0.19198,            0.085675,            0.091861,            0.064272,            0.015961,            0.001882,            0.001882,            0.001882
                  43,            0.093087,            0.062751,             0.01544,             0.55651,              0.2068,             0.19227,            0.087091,            0.091833,            0.064224,            0.015948,            0.001684,            0.001684,            0.001684
                  44,            0.092885,            0.062811,            0.015196,             0.58455,             0.20665,             0.19039,            0.085878,              0.0918,            0.064196,             0.01595,            0.001486,            0.001486,            0.001486
                  45,            0.092801,             0.06199,            0.015232,             0.56461,             0.21719,             0.19272,            0.086997,            0.091704,            0.064226,            0.015889,            0.001288,            0.001288,            0.001288
                  46,            0.092629,            0.062553,            0.014993,             0.55429,             0.21595,             0.19606,            0.088604,            0.091643,            0.064324,            0.015959,             0.00109,             0.00109,             0.00109
                  47,            0.092571,            0.062272,            0.014994,             0.54284,             0.21985,             0.19341,            0.088318,            0.091592,            0.064214,             0.01595,            0.000892,            0.000892,            0.000892
                  48,            0.092427,            0.061967,             0.01493,             0.55072,             0.21729,             0.19315,            0.087304,            0.091623,            0.064299,            0.015992,            0.000694,            0.000694,            0.000694
                  49,            0.092201,            0.061601,            0.014884,             0.54388,             0.21474,             0.19196,            0.087082,            0.091589,            0.064309,            0.015962,            0.000496,            0.000496,            0.000496
