                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4665,                 1.0686,                 1.1764,                0.63291,                0.47623,                0.48576,                0.25309,                 1.4484,                0.83893,                 1.1646,                0.07002,              0.0033311,              0.0033311
                      1,                 1.4292,                0.89704,                 1.1542,                0.55545,                 0.4481,                0.49619,                0.25305,                 1.4662,                0.86115,                 1.1945,               0.039888,              0.0065325,              0.0065325
                      2,                 1.4679,                0.94042,                 1.1814,                0.66346,                0.48059,                0.49977,                0.24428,                 1.4887,                0.94678,                 1.2297,              0.0096242,              0.0096019,              0.0096019
                      3,                   1.48,                 0.9472,                 1.1985,                0.71948,                0.49161,                0.54027,                 0.2789,                 1.4552,                0.87615,                 1.2199,               0.009406,               0.009406,               0.009406
                      4,                 1.4446,                0.89998,                 1.1844,                0.72937,                0.52242,                0.55664,                0.28875,                 1.4243,                0.82367,                 1.1956,               0.009406,               0.009406,               0.009406
                      5,                 1.4124,                0.85962,                 1.1722,                0.77785,                  0.548,                0.60591,                0.31784,                 1.3984,                0.78084,                 1.1837,               0.009208,               0.009208,               0.009208
                      6,                  1.387,                0.82742,                 1.1578,                0.77486,                0.54581,                0.60805,                0.32589,                 1.3819,                0.76897,                 1.1773,                0.00901,                0.00901,                0.00901
                      7,                 1.3647,                0.80553,                  1.151,                0.81746,                0.56006,                0.64266,                0.34496,                 1.3657,                0.74355,                 1.1706,               0.008812,               0.008812,               0.008812
                      8,                 1.3426,                0.78597,                 1.1393,                0.83447,                0.57133,                0.66039,                 0.3591,                 1.3397,                0.71807,                 1.1583,               0.008614,               0.008614,               0.008614
                      9,                 1.3308,                0.76735,                 1.1341,                0.81864,                0.58259,                0.65984,                0.36438,                 1.3385,                0.70457,                 1.1566,               0.008416,               0.008416,               0.008416
                     10,                 1.3141,                0.74786,                 1.1289,                0.82997,                0.58367,                0.66684,                 0.3701,                 1.3131,                0.68042,                 1.1447,               0.008218,               0.008218,               0.008218
                     11,                 1.2991,                0.73732,                 1.1244,                0.84046,                0.61169,                0.69157,                0.39176,                 1.3014,                0.66727,                 1.1356,                0.00802,                0.00802,                0.00802
                     12,                 1.2869,                0.72337,                  1.118,                 0.8409,                0.61792,                0.69485,                0.39294,                 1.2885,                0.65676,                  1.133,               0.007822,               0.007822,               0.007822
                     13,                 1.2746,                0.71262,                 1.1076,                0.79548,                0.66677,                0.72311,                0.41495,                 1.2754,                0.64053,                 1.1209,               0.007624,               0.007624,               0.007624
                     14,                 1.2611,                0.69766,                 1.1013,                0.75492,                0.71022,                0.74922,                0.43225,                 1.2603,                0.63146,                 1.1127,               0.007426,               0.007426,               0.007426
                     15,                 1.2482,                0.68934,                 1.0974,                0.85514,                0.63837,                0.73968,                  0.435,                 1.2518,                0.62749,                 1.1136,               0.007228,               0.007228,               0.007228
